building_key,leasinghub_id,leasinghub_original_key,leasinghub_name,centanet_id,centanet_original_key,centanet_name,match_score
LH_170,170,170,8 Queen's Road Central,4d06ead3-a23a-4dc5-8d40-4d4cd608c376,4d06ead3-a23a-4dc5-8d40-4d4cd608c376,8 Queen's Road Central,90.0
LH_1974,1974,1974,8 Wyndham Street,ba76e08d-43fa-48da-b26a-b3b744e897a1,ba76e08d-43fa-48da-b26a-b3b744e897a1,8 Wyndham Street,90.0
LH_1167,1167,1167,80 Gloucester Road,3c3892c7-2b25-4b25-ac79-789d6a63fd4d,3c3892c7-2b25-4b25-ac79-789d6a63fd4d,80 Gloucester Road,88.4
LH_1156,1156,1156,88 Gloucester Road,4162a41a-9e19-4b7d-ba18-ea116757c921,4162a41a-9e19-4b7d-ba18-ea116757c921,88 Gloucester Road,90.0
LH_846,846,846,9 Des Voeux Road West,92fd99a3-9058-4214-a45f-fb2fe70171b3,92fd99a3-9058-4214-a45f-fb2fe70171b3,9 Des Voeux Road West,88.6
LH_139,139,139,9 Queen's Road Central,435d2ffa-7dd7-4264-afa9-e370ff64dbb8,435d2ffa-7dd7-4264-afa9-e370ff64dbb8,Nine Queen's Road Central,87.0
LH_5555,5555,5555,9 Wing Hong Street,97e8859d-78c0-4fb6-9ec9-aef9845d1a5e,97e8859d-78c0-4fb6-9ec9-aef9845d1a5e,9 Wing Hong Street,90.0
LH_6307,6307,6307,909 Cheung Sha Wan Road,f0ea605f-4911-4822-866e-eca42c95b174,f0ea605f-4911-4822-866e-eca42c95b174,909 Cheung Sha Wan Road,90.0
LH_1131,1131,1131,Admiralty Centre Tower 1,09eeef57-e096-4827-955f-5aadc50263d6,09eeef57-e096-4827-955f-5aadc50263d6,Admiralty Centre Tower 1,90.0
LH_1130,1130,1130,Admiralty Centre Tower 2,9bb3bed9-b3e1-43a2-a6e0-2c97ff3ed3f5,9bb3bed9-b3e1-43a2-a6e0-2c97ff3ed3f5,Admiralty Centre Tower 2,90.0
LH_115,115,115,AIA Central,c38f51c0-684d-438f-a00b-d2440822e54a,c38f51c0-684d-438f-a00b-d2440822e54a,AIA Central,90.0
